ANO_LETIVO,CODIGO_CIE,CODIGO_INEP,CodigoDiretoria,NomeDiretoria,NomeEscola,NomeMunicipio,ANOS_INICIAIS,ANOS_FINAIS,ENSINO_MÉDIO
2019,8837,35008837,10606,SAO BERNARDO DO CAMPO,JOAO FIRMINO CORREIA DE ARAUJO DOUTOR,SAO BERNARDO DO CAMPO,0.0000000000,4.0400000000,2.7500000000
2019,8849,35008849,10606,SAO BERNARDO DO CAMPO,EUCLYDES DESLANDES PROFESSOR,SAO BERNARDO DO CAMPO,0.0000000000,3.5000000000,2.5600000000
2019,8874,35008874,10606,SAO BERNARDO DO CAMPO,ROBERT KENNEDY SENADOR,SAO BERNARDO DO CAMPO,0.0000000000,5.1800000000,4.1700000000
2019,8886,35008886,10606,SAO BERNARDO DO CAMPO,FRANCISCO PRESTES MAIA ENGENHEIRO,SAO BERNARDO DO CAMPO,0.0000000000,3.7100000000,2.0900000000
2019,8898,35008898,10606,SAO BERNARDO DO CAMPO,MATHIAS OCTAVIO ROXO NOBRE DOUTOR,SAO BERNARDO DO CAMPO,0.0000000000,3.0300000000,2.1000000000
2019,8904,35008904,10606,SAO BERNARDO DO CAMPO,JOSE JORGE DO AMARAL PROFESSOR,SAO BERNARDO DO CAMPO,0.0000000000,3.7300000000,1.9300000000
2019,8916,35008916,10606,SAO BERNARDO DO CAMPO,MARIA PIRES PROFESSORA,SAO BERNARDO DO CAMPO,0.0000000000,3.4000000000,2.0700000000
2019,8928,35008928,10606,SAO BERNARDO DO CAMPO,JOSE GONCALVES DE ANDRADE FIGUEIRA DOUTOR,SAO BERNARDO DO CAMPO,0.0000000000,2.8800000000,1.5500000000
2019,8936,35008936,10606,SAO BERNARDO DO CAMPO,ADAIL LUIZ MILLER DOUTOR,SAO BERNARDO DO CAMPO,0.0000000000,4.6900000000,3.3100000000
2019,8941,35008941,10606,SAO BERNARDO DO CAMPO,SANTA OLIMPIA,SAO BERNARDO DO CAMPO,0.0000000000,4.9300000000,4.5800000000
2019,8977,35008977,10606,SAO BERNARDO DO CAMPO,JACOB CASSEB PROFESSOR,SAO BERNARDO DO CAMPO,0.0000000000,3.2000000000,2.3900000000
2019,8990,35008990,10606,SAO BERNARDO DO CAMPO,ANTONIO CAPUTO,SAO BERNARDO DO CAMPO,0.0000000000,3.3000000000,1.8800000000
2019,9003,35009003,10606,SAO BERNARDO DO CAMPO,JORGE RAHME PROFESSOR,SAO BERNARDO DO CAMPO,0.0000000000,3.4800000000,2.3100000000
2019,9015,35009015,10606,SAO BERNARDO DO CAMPO,MIZUHO ABUNDANCIA,SAO BERNARDO DO CAMPO,0.0000000000,3.4600000000,2.7600000000
2019,9039,35009039,10606,SAO BERNARDO DO CAMPO,ANTONIO NASCIMENTO PROFESSOR,SAO BERNARDO DO CAMPO,0.0000000000,4.1800000000,4.2700000000
2019,9088,35009088,10606,SAO BERNARDO DO CAMPO,BAETA NEVES DOUTOR,SAO BERNARDO DO CAMPO,0.0000000000,5.1400000000,3.5900000000
2019,9106,35009106,10606,SAO BERNARDO DO CAMPO,JOSE FORNARI DOUTOR,SAO BERNARDO DO CAMPO,0.0000000000,3.6100000000,2.9400000000
2019,9118,35009118,10606,SAO BERNARDO DO CAMPO,MARIA LUIZA FERRARI CICERO PROFESSORA,SAO BERNARDO DO CAMPO,0.0000000000,4.6000000000,0.0000000000
2019,9124,35009124,10606,SAO BERNARDO DO CAMPO,CLOVIS DE LUCCA PROFESSOR,SAO BERNARDO DO CAMPO,0.0000000000,3.4400000000,2.0800000000
2019,9131,35009131,10606,SAO BERNARDO DO CAMPO,MAURICIO ANTUNES FERRAZ PROFESSOR,SAO BERNARDO DO CAMPO,0.0000000000,3.6900000000,2.3400000000
2019,9155,35009155,10606,SAO BERNARDO DO CAMPO,LUIZA COLLACO QUEIROZ FONSECA PROFESSORA,SAO BERNARDO DO CAMPO,0.0000000000,3.7900000000,2.4600000000
2019,9167,35009167,10606,SAO BERNARDO DO CAMPO,JOAQUIM MOREIRA BERNARDES PROFESSOR,SAO BERNARDO DO CAMPO,0.0000000000,3.2600000000,1.8500000000
2019,9180,35009180,10606,SAO BERNARDO DO CAMPO,AMADEU OLIVERIO PROFESSOR,SAO BERNARDO DO CAMPO,0.0000000000,0.0000000000,4.4200000000
2019,9210,35009210,10606,SAO BERNARDO DO CAMPO,MARIA IRACEMA MUNHOZ,SAO BERNARDO DO CAMPO,0.0000000000,4.3000000000,2.5300000000
2019,9234,35009234,10606,SAO BERNARDO DO CAMPO,LAURO GOMES DE ALMEIDA,SAO BERNARDO DO CAMPO,0.0000000000,5.2800000000,0.0000000000
2019,9246,35009246,10606,SAO BERNARDO DO CAMPO,CARLOS PEZZOLO PROFESSOR,SAO BERNARDO DO CAMPO,0.0000000000,2.8300000000,2.1300000000
2019,9258,35009258,10606,SAO BERNARDO DO CAMPO,YOLANDA NORONHA DO NASCIMENTO PROFESSORA,SAO BERNARDO DO CAMPO,0.0000000000,3.6100000000,0.0000000000
2019,9261,35009261,10606,SAO BERNARDO DO CAMPO,JOAO RAMALHO,SAO BERNARDO DO CAMPO,0.0000000000,4.8600000000,3.5800000000
2019,9283,35009283,10606,SAO BERNARDO DO CAMPO,20 DE AGOSTO,SAO BERNARDO DO CAMPO,0.0000000000,4.0400000000,2.9100000000
2019,9295,35009295,10606,SAO BERNARDO DO CAMPO,WALLACE COCKRANE SIMONSEN,SAO BERNARDO DO CAMPO,0.0000000000,4.5400000000,3.2800000000
2019,9313,35009313,10606,SAO BERNARDO DO CAMPO,RUDGE RAMOS,SAO BERNARDO DO CAMPO,0.0000000000,6.0600000000,0.0000000000
2019,9325,35009325,10606,SAO BERNARDO DO CAMPO,ANESIA LOUREIRO GAMA PROFESSORA,SAO BERNARDO DO CAMPO,0.0000000000,5.1000000000,3.7200000000
2019,9337,35009337,10606,SAO BERNARDO DO CAMPO,CYNIRA PIRES DOS SANTOS PROFESSORA,SAO BERNARDO DO CAMPO,0.0000000000,4.6800000000,2.9800000000
2019,9350,35009350,10606,SAO BERNARDO DO CAMPO,MARIA TRUJILO TORLONI,SAO CAETANO DO SUL,0.0000000000,4.1600000000,4.6200000000
2019,9404,35009404,10606,SAO BERNARDO DO CAMPO,JOANA MOTTA PROFESSORA,SAO CAETANO DO SUL,0.0000000000,5.3700000000,4.7000000000
2019,9416,35009416,10606,SAO BERNARDO DO CAMPO,LAURA LOPES,SAO CAETANO DO SUL,0.0000000000,4.0700000000,3.2500000000
