ANO_LETIVO;CODIGO_CIE;CODIGO_INEP;CODIGO_DIRETORIA;NOME_DIRETORIA;NOME_ESCOLA;NOME_MUNICIPIO;ANOS_INICIAIS;ANOS_FINAIS;ENSINO_MEDIO
2018;902949;35902949;10502;SUZANO;ALICE ROMANOS PROFESSORA;SUZANO;4.5000000000;3.0700000000;
2018;46450;35046450;10502;SUZANO;OSWALDO DE OLIVEIRA LIMA;SUZANO;;2.2400000000;1.8000000000
2018;29993;35029993;20802;ARACATUBA;OLIMPIO CAMARGO PROF;BENTO DE ABREU;;3.9400000000;2.6100000000
2018;284348;35284348;10601;DIADEMA;DIADEMA;DIADEMA;6.9600000000;4.4000000000;3.5200000000
2018;906608;35906608;10601;DIADEMA;APARECIDA DONIZETE DE PAULA PROFESSORA;DIADEMA;6.8900000000;;
2018;37285;35037285;10601;DIADEMA;JOAO CARLOS GOMES CARDIM PROF;DIADEMA;;3.8000000000;2.0900000000
2018;7432;35007432;10601;DIADEMA;ALDEMIR DE SOUZA CASTRO PROFESSOR;DIADEMA;6.4900000000;;
2018;7523;35007523;10601;DIADEMA;PEDRO MADOGLIO PROFESSOR;DIADEMA;;2.9600000000;2.4700000000
2018;906621;35906621;10601;DIADEMA;JORGE FERREIRA;DIADEMA;4.9300000000;;
2018;7390;35007390;10601;DIADEMA;ANTONIETA BORGES ALVES PROFESSORA;DIADEMA;;4.3400000000;2.6600000000
2018;41191;35041191;10601;DIADEMA;RODRIGO SOARES JUNIOR JORNALISTA;DIADEMA;6.5300000000;;
2018;911677;35911677;20403;BRAGANCA PAULISTA;FABIO HACL PINOLA PROF;NAZARE PAULISTA;;3.5900000000;4.2200000000
2018;912897;35912897;20403;BRAGANCA PAULISTA;CLELIA DE BARROS LEITE DA SILVA PROFESSORA;NAZARE PAULISTA;5.2600000000;2.9200000000;2.2500000000
2018;23152;35023152;20504;FRANCA;NENE LOURENCO;RIBEIRAO CORRENTE;;;3.0600000000
2018;28708;35028708;20710;SAO JOSE DO RIO PRETO;GONCALVES MONSENHOR;SAO JOSE DO RIO PRETO;;;3.3300000000
2018;28927;35028927;20710;SAO JOSE DO RIO PRETO;JOSE FELICIO MIZIARA PROFESSOR;SAO JOSE DO RIO PRETO;;4.8500000000;4.7300000000
2018;28903;35028903;20710;SAO JOSE DO RIO PRETO;JUSTINO JERRY FARIA PROFESSOR;SAO JOSE DO RIO PRETO;;3.8500000000;3.1100000000
2018;28551;35028551;20710;SAO JOSE DO RIO PRETO;NOEMIA BUENO DO VALLE PROFESSORA;SAO JOSE DO RIO PRETO;;4.7200000000;
